id,nome,codigo,sigla,municipio_id,padrao,principal
592,Pium,05,NULL,389,N,N
593,Pugmil,05,NULL,390,N,N
594,Sandolândia,05,NULL,391,N,N
595,"Aliança do Tocantins",05,NULL,392,N,N
596,Alvorada,05,NULL,393,N,N
597,"Brejinho de Nazaré",05,NULL,394,N,N
598,"Cariri do Tocantins",05,NULL,395,N,N
599,"Crixás do Tocantins",05,NULL,396,N,N
600,Figueirópolis,05,NULL,397,N,N
601,Gurupi,05,NULL,398,N,N
602,"Jaú do Tocantins",05,NULL,399,N,N
603,Palmeirópolis,05,NULL,400,N,N
604,Peixe,05,NULL,401,N,N
605,"Santa Rita do Tocantins",05,NULL,402,N,N
606,"São Salvador do Tocantins",05,NULL,403,N,N
607,Sucupira,05,NULL,404,N,N
608,Talismã,05,NULL,405,N,N
609,"Aparecida do Rio Negro",05,NULL,406,N,N
610,"Bom Jesus do Tocantins",05,NULL,407,N,N
611,Ipueiras,05,NULL,408,N,N
612,Lajeado,05,NULL,409,N,N
613,"Monte do Carmo",05,NULL,410,N,N
614,"Pedro Afonso",05,NULL,411,N,N
615,"Porto Real",10,NULL,411,N,N
616,"Porto Nacional",05,NULL,412,N,N
617,Luzimangues,25,NULL,412,N,N
618,"Santa Maria do Tocantins",05,NULL,413,N,N
619,Silvanópolis,05,NULL,414,N,N
620,Palmas,05,NULL,415,N,N
